Name,University,Year,Country
Liam Machado,University of Utah,2016,United States
William Li,University of Utah,2016,United States
Alec Grieser,University of Virginia,2016,United States
Derek Morris,University of Virginia,2016,United States
Dayton Ellwanger,University of North Carolina at Chapel Hill,2016,United States
Rachel Krohn,South Dakota School of Mines and Technology,2016,United States
Andrew Gozzard,The University of Western Australia,2016,Australia
Emma Krantz,The University of Western Australia,2016,Australia
Max Ward-Graham,The University of Western Australia,2016,Australia
Scott Shi,University of Chicago,2016,United States
Forrest Li,University of North Carolina at Chapel Hill,2016,United States
Andrew Norton,University of Virginia,2016,United States
David Spencer,University of North Carolina at Chapel Hill,2016,United States
Taokun Zheng,California Institute of Technology,2016,United States
Posdarascu Eugenie Daniel,Imperial College London,2016,United Kingdom
Yordan Chaparov,Imperial College London,2016,United Kingdom
Brian Chau,University of British Columbia,2016,Canada
Hung li Chen,University of British Columbia,2016,Canada
Mihai Popa,Imperial College London,2016,United Kingdom
Jacob Smith,Iowa State University,2016,United States
Jian Wang,Ohio State University,2016,United States
Nathan De Graaf,Iowa State University,2016,United States
Albert Gural,California Institute of Technology,2016,United States
Te Zhang,Ohio State University,2016,United States
Ching Yun Hsu,California Institute of Technology,2016,United States
Dingkang Wang,Ohio State University,2016,United States
Kevin Tran,The University of New South Wales,2015,Australia
John Boswell,University of Central Florida,2015,United States
Tyler Brazill,University of Central Florida,2015,United States
Chun Wu,University of Michigan at Ann Arbor,2015,United States
Yujie An,University of Michigan at Ann Arbor,2015,United States
Zhongtian Jiang,Georgia Institute of Technology,2015,United States
Zhou Sun,University of Michigan at Ann Arbor,2015,United States
Menghui Wang,University of Wisconsin - Madison,2015,United States
Yujin Wu,The University of New South Wales,2015,Australia
Andrew Morgan,University of Wisconsin - Madison,2015,United States
Bryce Sandlund,University of Wisconsin - Madison,2015,United States
Chuanqi Shen,Stanford University,2015,United States
Kaidi Yan,Stanford University,2015,United States
Lingxiao Li,Stanford University,2015,United States
Ed Kim,Northwestern University,2015,United States
Siyuan Cai,Northwestern University,2015,United States
Hanjun Dai,Georgia Institute of Technology,2015,United States
Yijie Wang,Georgia Institute of Technology,2015,United States
Sina Dehghani,University of Maryland,2015,United States
William Cooperman,Carnegie Mellon University,2015,United States
Yi Wu,University of California at Berkeley,2015,United States
Ali-Amir Aldan,Massachusetts Institute of Technology,2015,United States
Szu-Po Wang,Massachusetts Institute of Technology,2015,United States
Deon Nicholas,University of Waterloo,2015,Canada
Geoffry Song,University of Waterloo,2015,Canada
